Mes_Año,Usuario,Metros cuadrados reales por rollo,tiempo_en_rollo,tiempo_en_horas,metros_por_hora
2021-03,tflores,6710.526,0 days 01:31:35,1.5263888888888888,4396.340964513194
2021-04,acorpus,7692.395,0 days 01:44:02,1.7338888888888888,4436.498237744313
2021-04,elopezt,27556.43,0 days 05:59:18,5.988333333333333,4601.686056220428
2021-04,eperezv,1706684.720029,18 days 03:20:32,435.34222222222223,3920.328957106797
2021-04,grangel,1472607.95974,15 days 21:03:58,381.0661111111111,3864.4421973031804
2021-04,iperalta,7330.206,0 days 01:33:17,1.5547222222222221,4714.801072002859
2021-04,jdelira,1267002.788266,11 days 05:52:04,269.8677777777778,4694.902069076626
2021-04,jmatahe,1700270.010763,15 days 10:45:41,370.7613888888889,4585.887478354826
2021-04,jmlarar,1282528.462,12 days 16:24:32,304.4088888888889,4213.176779039888
2021-04,jtorrem,996596.344544,9 days 21:23:32,237.39222222222222,4198.100237720041
2021-04,jtorresb,1042676.335,9 days 04:09:43,220.16194444444446,4735.951699695805
2021-04,jtoscano,786651.700245,7 days 11:26:43,179.4452777777778,4383.797166393963
2021-04,mcarrill,2883.0480000000002,0 days 00:44:08,0.7355555555555555,3919.5516616314203
2021-04,tflores,6438.852000000001,0 days 01:36:33,1.6091666666666666,4001.3580528223724
2021-05,FLOPEZR,6181.042,0 days 01:23:30,1.3916666666666666,4441.467305389222
2021-05,JRODRIMA,5776.2339999999995,0 days 01:15:46,1.2627777777777778,4574.2284205895285
2021-05,acorpus,14185.71142,0 days 03:18:04,3.301111111111111,4297.253543588017
2021-05,alopezb,1423170.598493,14 days 04:15:23,340.25638888888886,4182.641810607524
2021-05,elopezt,10445.386,0 days 01:30:36,1.51,6917.474172185431
2021-05,eperezv,1630370.225038,15 days 06:30:38,366.5105555555556,4448.358172295174
2021-05,grangel,283399.215989,3 days 05:43:30,77.725,3646.178398057253
2021-05,iperalta,1525.14,0 days 00:20:52,0.3477777777777778,4385.386581469648
2021-05,jdelira,46040.945029999995,0 days 10:00:03,10.000833333333333,4603.710860428298
2021-05,jmatahe,881536.009224,8 days 09:11:30,201.19166666666666,4381.573172633061
2021-05,jmlarar,1373100.442674,13 days 07:48:44,319.8122222222222,4293.45830854425
2021-05,jtorrem,915983.679,8 days 17:31:58,209.53277777777777,4371.553170413539
2021-05,jtorresb,1896809.78631,17 days 16:11:09,424.18583333333333,4471.648125078827
2021-05,jtoscano,1882741.3762080001,17 days 05:57:27,413.9575,4548.15138319272
2021-05,tflores,10791.209,0 days 02:16:19,2.2719444444444443,4749.767991196968
2021-06,FLOPEZR,2805.842,0 days 10:15:12,10.253333333333334,273.6516905071521
2021-06,JRODRIMA,12143.354000000001,0 days 03:01:27,3.0241666666666664,4015.4380821162863
2021-06,acorpus,23042.853123,0 days 05:32:02,5.533888888888889,4163.952978757153
2021-06,alopezb,199348.02968,2 days 02:26:13,50.43694444444444,3952.4208271494113
2021-06,elopezt,2351.268,0 days 00:23:16,0.3877777777777778,6063.441833810888
2021-06,eperezv,1396198.394537,14 days 15:38:09,351.6358333333333,3970.580532995547
2021-06,grangel,1214932.56688,11 days 18:08:38,282.1438888888889,4306.074363915969
2021-06,jmatahe,333962.67895,3 days 12:22:52,84.38111111111111,3957.7895402472905
2021-06,jmlarar,1116283.023673,11 days 16:55:29,280.9247222222222,3973.601948745463
2021-06,jtorrem,1147856.21033,11 days 19:29:32,283.4922222222222,4048.9866047549804
2021-06,jtorresb,1232995.175,11 days 23:07:44,287.12888888888887,4294.2219425267795
2021-06,jtoscano,897013.217499,8 days 13:13:06,205.21833333333333,4371.018918870146
2021-06,macostac,4630.5,0 days 01:04:08,1.068888888888889,4332.068607068607
2021-06,rholten,3904.446,0 days 01:32:08,1.5355555555555556,2542.6927641099855
2021-06,tflores,1766.232,0 days 00:42:06,0.7016666666666667,2517.1952494061757
2021-07,FLOPEZR,8108.906,0 days 01:55:05,1.9180555555555556,4227.670036205648
2021-07,JRODRIMA,8271.637999999999,0 days 01:29:23,1.4897222222222222,5552.470035427932
2021-07,acorpus,49184.8422,0 days 10:36:09,10.6025,4638.9853525112
2021-07,alopezb,1565903.623608,14 days 22:22:02,358.3672222222222,4369.5503564692335
2021-07,elopezt,2942.6400000000003,0 days 01:18:52,1.3144444444444445,2238.6948436179205
2021-07,eperezv,111788.642,1 days 03:51:46,27.86277777777778,4012.1140430283335
2021-07,grangel,1598793.171015,14 days 08:27:38,344.4605555555556,4641.440493633362
2021-07,iperalta,16739.552,0 days 03:33:52,3.5644444444444443,4696.258354114713
2021-07,jdelira,22969.164,0 days 05:14:30,5.241666666666666,4382.034467408585
2021-07,jmatahe,1598130.74575,14 days 20:57:51,356.96416666666664,4477.0060834771
2021-07,jmlarar,1483934.622176,13 days 13:46:12,325.77,4555.160457304233
2021-07,jtorrem,1791832.269766,15 days 22:10:29,382.1747222222222,4688.515921061121
2021-07,jtorresb,1289182.554124,12 days 17:39:30,305.65833333333336,4217.7242153515635
2021-07,jtoscano,1469478.059607,13 days 15:24:09,327.4025,4488.292116300273
2021-07,mcarrill,6530.429,0 days 01:12:34,1.2094444444444445,5399.527882406982
2021-07,tflores,1194.6260000000002,0 days 00:12:46,0.2127777777777778,5614.430287206267
2021-08,FLOPEZR,1789.084,0 days 00:36:44,0.6122222222222222,2922.278765880218
2021-08,JRODRIMA,2165.232,0 days 00:27:48,0.4633333333333333,4673.162589928058
2021-08,acorpus,67113.699123,0 days 14:24:51,14.414166666666667,4656.092903254899
2021-08,elopezt,8399.362000000001,0 days 01:24:51,1.4141666666666666,5939.442781378905
2021-08,eperezv,854156.149817,8 days 15:15:02,207.25055555555556,4121.369650987666
2021-08,grangel,1300822.33502,13 days 03:52:17,315.8713888888889,4118.202473468017
2021-08,iperalta,14038.007,0 days 03:19:29,3.3247222222222224,4222.309733478151
2021-08,jdelira,78163.995,0 days 14:53:15,14.8875,5250.310327455919
2021-08,jmatahe,1278034.571392,12 days 01:36:10,289.60277777777776,4413.060472688836
2021-08,jmlarar,1251270.792953,12 days 01:09:40,289.1611111111111,4327.244379940825
2021-08,jtorrem,1279972.56868,13 days 18:14:17,330.23805555555555,3875.908748695596
2021-08,jtorresb,1312162.02504,13 days 03:59:44,315.99555555555554,4152.4698748786905
2021-08,jtoscano,1555370.280723,13 days 19:16:31,331.2752777777778,4695.099166942229
2021-08,mcarrill,10701.177,0 days 02:31:51,2.5308333333333333,4228.321501481725
2021-08,tflores,3218.865,0 days 00:46:45,0.7791666666666667,4131.163636363636
2021-09,FLOPEZR,32810.73192,0 days 05:40:54,5.681666666666667,5774.842813728365
2021-09,JRODRIMA,38242.157,0 days 09:17:26,9.290555555555555,4116.240064581714
2021-09,acorpus,36135.710499,0 days 09:23:51,9.3975,3845.2471932960893
2021-09,alopezb,613636.83294,5 days 14:14:11,134.23638888888888,4571.315110747831
2021-09,elopezt,6878.51,0 days 01:47:32,1.7922222222222222,3837.9783013019223
2021-09,eperezv,905063.975574,9 days 22:52:11,238.8697222222222,3788.9438944129242
2021-09,gilrodrigueza,9179.099999999999,0 days 02:05:36,2.0933333333333333,4384.920382165605
2021-09,grangel,1112526.860078,11 days 14:49:02,278.8172222222222,3990.1654969910596
2021-09,jdelira,55226.168329,0 days 15:44:33,15.7425,3508.0939068762905
2021-09,jmatahe,1731535.79207,16 days 23:17:14,407.2872222222222,4251.38746711098
2021-09,jmlarar,1389654.714387,14 days 13:57:12,349.9533333333333,3970.9715039729113
2021-09,jtorrem,1231883.46092,13 days 02:36:37,314.61027777777775,3915.585560717537
2021-09,jtorresb,995446.3706,8 days 15:51:26,207.85722222222222,4789.087239584865
2021-09,jtoscano,1714408.483416,15 days 07:20:55,367.3486111111111,4666.979625240632
2021-09,rbarron,2458.3359389999996,0 days 03:05:18,3.0883333333333334,796.0073196977872
